Plans;Int1;Int2;Int3;Int4;Int5;Int6;Work1;Work2;Work3;Work4;Work5;Work6;Ext1;Ext2;Ext3;Ext4;Ext5;Ext6;Ext7;Ext8;Age;Gender
1;3;6;4;7;7;1;6;5;4;7;4;6;6;6;7;7;7;3;5;6;24;2
3;4;7;7;7;7;7;7;7;7;7;7;6;7;7;7;5;7;5;3;7;24;1
2;2;5;6;7;6;7;6;6;6;7;6;6;6;6;7;6;6;5;3;7;25;2
1;1;3;4;7;5;7;7;6;7;7;7;7;4;7;7;7;7;7;3;7;54;1
2;6;1;3;7;7;7;6;7;5;5;6;7;4;5;3;6;7;5;4;7;53;2
6;2;4;7;1;1;2;5;2;4;1;3;1;1;1;6;1;1;7;4;1;22;1
4;5;3;4;4;5;1;7;5;7;7;4;4;2;1;7;4;1;5;5;4;33;1
2;2;6;6;7;7;7;5;5;6;6;3;6;7;6;6;6;3;7;3;7;20;2
1;3;6;5;7;7;6;7;7;7;6;6;5;7;7;7;7;5;5;3;6;20;2
2;6;3;4;6;6;2;5;4;6;6;7;6;4;5;4;5;7;7;1;5;52;1
2;4;4;5;2;5;5;7;3;7;6;5;2;2;4;4;4;5;5;3;4;42;2
6;4;5;6;1;3;2;7;4;5;2;4;2;1;1;2;3;3;5;4;4;42;2
1;4;4;4;7;7;7;7;7;7;7;7;7;4;7;4;7;7;7;7;7;48;2
2;7;5;5;2;7;7;7;7;4;7;7;7;5;5;4;7;7;7;6;7;49;2
1;1;1;7;1;7;2;7;7;7;7;7;7;7;7;7;7;7;5;1;7;60;2
3;2;1;2;5;7;6;6;6;7;7;5;5;3;5;3;7;6;3;3;6;19;2
7;7;2;7;4;4;4;4;4;4;4;4;5;4;4;7;4;4;6;4;4;54;2
6;3;5;7;6;3;5;7;6;6;4;5;5;2;5;7;3;4;6;5;5;23;2
5;1;5;5;2;2;3;4;4;5;5;6;5;6;5;6;4;1;5;6;5;23;1
4;2;3;4;5;4;7;3;1;5;4;7;7;3;4;3;6;7;5;4;7;35;1
2;3;5;6;7;7;5;6;6;6;6;6;6;6;6;7;7;5;5;2;5;21;2
2;2;5;5;7;7;7;7;7;7;7;7;7;6;6;7;7;6;5;3;7;21;2
1;3;3;3;5;4;7;7;4;3;4;6;6;6;2;3;4;6;6;2;6;52;1
